Ngày,Thời điểm cập nhật giá mới,Thời điểm cập nhật dữ liệu,Mã vàng,Loại vàng,Giá mua,Giá bán,Day change buy,Day change sell,Currency,Số lần update
2026-04-20,16:30:00,2026-04-20 16:59:36.988,DOHCML,DOJI HCM,168300000.0,171300000,,,,1
2026-04-20,16:30:00,2026-04-20 16:59:36.988,DOHNL,DOJI Hanoi,168300000.0,171300000,,,,1
2026-04-20,16:30:00,2026-04-20 16:59:36.988,DOJINHTV,DOJI Jewelry,168300000.0,171300000,,,,1
2026-04-20,16:30:00,2026-04-20 16:59:36.988,PQHN24NTT,PNJ 24K,168000000.0,171000000,,,,1
2026-04-20,16:30:00,2026-04-20 16:59:36.988,PQHNVM,PNJ Hanoi,168300000.0,171300000,,,,1
2026-04-20,16:30:00,2026-04-20 16:59:36.988,SJ9999,SJC Ring,167800000.0,170800000,,,,1
2026-04-20,16:30:00,2026-04-20 16:59:36.988,SJL1L10,SJC 9999,168300000.0,171300000,,,,1
2026-04-20,16:30:00,2026-04-20 16:59:36.988,VIETTINMSJC,Viettin SJC,168300000.0,171300000,,,,1
2026-04-20,16:30:00,2026-04-20 16:59:36.988,VNGSJC,VN Gold SJC,168300000.0,171300000,,,,1
2026-04-20,16:30:00,2026-04-20 16:59:36.988,XAUUSD,World Gold (XAU/USD),4794.0,0,,,,1
2026-04-20,17:30:00,2026-04-20 17:59:35.540,BT9999NTT,Bao Tin 9999,168000000.0,171000000,,,,1
2026-04-20,17:30:00,2026-04-20 17:59:35.540,BTSJC,Bao Tin SJC,168300000.0,171300000,,,,1
2026-04-20,17:30:00,2026-04-20 17:59:35.540,DOHCML,DOJI HCM,168300000.0,171300000,,,,1
2026-04-20,17:30:00,2026-04-20 17:59:35.540,DOHNL,DOJI Hanoi,168300000.0,171300000,,,,1
2026-04-20,17:30:00,2026-04-20 17:59:35.540,DOJINHTV,DOJI Jewelry,168300000.0,171300000,,,,1
2026-04-20,17:30:00,2026-04-20 17:59:35.540,PQHN24NTT,PNJ 24K,168000000.0,171000000,,,,1
2026-04-20,17:30:00,2026-04-20 17:59:35.540,PQHNVM,PNJ Hanoi,168300000.0,171300000,,,,1
2026-04-20,17:30:00,2026-04-20 17:59:35.540,SJ9999,SJC Ring,167800000.0,170800000,,,,1
2026-04-20,17:30:00,2026-04-20 17:59:35.540,SJL1L10,SJC 9999,168300000.0,171300000,,,,1
2026-04-20,17:30:00,2026-04-20 17:59:35.540,VIETTINMSJC,Viettin SJC,168300000.0,171300000,,,,1
2026-04-20,17:30:00,2026-04-20 17:59:35.540,VNGSJC,VN Gold SJC,168300000.0,171300000,,,,1
2026-04-20,17:30:00,2026-04-20 17:59:35.540,XAUUSD,World Gold (XAU/USD),4800.0,0,,,,1
2026-04-20,18:30:00,2026-04-20 18:59:36.346,BT9999NTT,Bao Tin 9999,168000000.0,171000000,,,,1
2026-04-20,18:30:00,2026-04-20 18:59:36.346,BTSJC,Bao Tin SJC,168300000.0,171300000,,,,1
2026-04-20,18:30:00,2026-04-20 18:59:36.346,DOHCML,DOJI HCM,168300000.0,171300000,,,,1
2026-04-20,18:30:00,2026-04-20 18:59:36.346,DOHNL,DOJI Hanoi,168300000.0,171300000,,,,1
2026-04-20,18:30:00,2026-04-20 18:59:36.346,DOJINHTV,DOJI Jewelry,168300000.0,171300000,,,,1
2026-04-20,18:30:00,2026-04-20 18:59:36.346,PQHN24NTT,PNJ 24K,168000000.0,171000000,,,,1
2026-04-20,18:30:00,2026-04-20 18:59:36.346,PQHNVM,PNJ Hanoi,168300000.0,171300000,,,,1
2026-04-20,18:30:00,2026-04-20 18:59:36.346,SJ9999,SJC Ring,167800000.0,170800000,,,,1
2026-04-20,18:30:00,2026-04-20 18:59:36.346,SJL1L10,SJC 9999,168300000.0,171300000,,,,1
2026-04-20,18:30:00,2026-04-20 18:59:36.346,VIETTINMSJC,Viettin SJC,168300000.0,171300000,,,,1
2026-04-20,18:30:00,2026-04-20 18:59:36.346,VNGSJC,VN Gold SJC,168300000.0,171300000,,,,1
2026-04-20,18:30:00,2026-04-20 18:59:36.346,XAUUSD,World Gold (XAU/USD),4789.8,0,,,,1
2026-04-20,19:30:00,2026-04-20 19:59:36.152,BT9999NTT,Bao Tin 9999,168000000.0,171000000,,,,1
2026-04-20,19:30:00,2026-04-20 19:59:36.152,BTSJC,Bao Tin SJC,168300000.0,171300000,,,,1
2026-04-20,19:30:00,2026-04-20 19:59:36.152,DOHCML,DOJI HCM,168300000.0,171300000,,,,1
2026-04-20,19:30:00,2026-04-20 19:59:36.152,DOHNL,DOJI Hanoi,168300000.0,171300000,,,,1
2026-04-20,19:30:00,2026-04-20 19:59:36.152,DOJINHTV,DOJI Jewelry,168300000.0,171300000,,,,1
2026-04-20,19:30:00,2026-04-20 19:59:36.152,PQHN24NTT,PNJ 24K,168000000.0,171000000,,,,1
2026-04-20,19:30:00,2026-04-20 19:59:36.152,PQHNVM,PNJ Hanoi,168300000.0,171300000,,,,1
2026-04-20,19:30:00,2026-04-20 19:59:36.152,SJ9999,SJC Ring,167800000.0,170800000,,,,1
2026-04-20,19:30:00,2026-04-20 19:59:36.152,SJL1L10,SJC 9999,168300000.0,171300000,,,,1
2026-04-20,19:30:00,2026-04-20 19:59:36.152,VIETTINMSJC,Viettin SJC,168300000.0,171300000,,,,1
2026-04-20,19:30:00,2026-04-20 19:59:36.152,VNGSJC,VN Gold SJC,168300000.0,171300000,,,,1
2026-04-20,19:30:00,2026-04-20 19:59:36.152,XAUUSD,World Gold (XAU/USD),4806.1,0,,,,1
2026-04-20,20:30:00,2026-04-20 20:59:35.185,BT9999NTT,Bao Tin 9999,168000000.0,171000000,,,,1
2026-04-20,20:30:00,2026-04-20 20:59:35.185,BTSJC,Bao Tin SJC,168300000.0,171300000,,,,1
2026-04-20,20:30:00,2026-04-20 20:59:35.185,DOHCML,DOJI HCM,168300000.0,171300000,,,,1
2026-04-20,20:30:00,2026-04-20 20:59:35.185,DOHNL,DOJI Hanoi,168300000.0,171300000,,,,1
2026-04-20,20:30:00,2026-04-20 20:59:35.185,DOJINHTV,DOJI Jewelry,168300000.0,171300000,,,,1
2026-04-20,20:30:00,2026-04-20 20:59:35.185,PQHN24NTT,PNJ 24K,168000000.0,171000000,,,,1
2026-04-20,20:30:00,2026-04-20 20:59:35.185,PQHNVM,PNJ Hanoi,168300000.0,171300000,,,,1
2026-04-20,20:30:00,2026-04-20 20:59:35.185,SJ9999,SJC Ring,167800000.0,170800000,,,,1
2026-04-20,20:30:00,2026-04-20 20:59:35.185,SJL1L10,SJC 9999,168300000.0,171300000,,,,1
2026-04-20,20:30:00,2026-04-20 20:59:35.185,VIETTINMSJC,Viettin SJC,168300000.0,171300000,,,,1
2026-04-20,20:30:00,2026-04-20 20:59:35.185,VNGSJC,VN Gold SJC,168300000.0,171300000,,,,1
2026-04-20,20:30:00,2026-04-20 20:59:35.185,XAUUSD,World Gold (XAU/USD),4821.0,0,,,,1
2026-04-20,21:30:00,2026-04-20 21:59:35.167,BT9999NTT,Bao Tin 9999,168000000.0,171000000,,,,1
2026-04-20,21:30:00,2026-04-20 21:59:35.167,BTSJC,Bao Tin SJC,168300000.0,171300000,,,,1
2026-04-20,21:30:00,2026-04-20 21:59:35.167,DOHCML,DOJI HCM,168300000.0,171300000,,,,1
2026-04-20,21:30:00,2026-04-20 21:59:35.167,DOHNL,DOJI Hanoi,168300000.0,171300000,,,,1
2026-04-20,21:30:00,2026-04-20 21:59:35.167,DOJINHTV,DOJI Jewelry,168300000.0,171300000,,,,1
2026-04-20,21:30:00,2026-04-20 21:59:35.167,PQHN24NTT,PNJ 24K,168000000.0,171000000,,,,1
2026-04-20,21:30:00,2026-04-20 21:59:35.167,PQHNVM,PNJ Hanoi,168300000.0,171300000,,,,1
2026-04-20,21:30:00,2026-04-20 21:59:35.167,SJ9999,SJC Ring,167800000.0,170800000,,,,1
2026-04-20,21:30:00,2026-04-20 21:59:35.167,SJL1L10,SJC 9999,168300000.0,171300000,,,,1
2026-04-20,21:30:00,2026-04-20 21:59:35.167,VIETTINMSJC,Viettin SJC,168300000.0,171300000,,,,1
2026-04-20,21:30:00,2026-04-20 21:59:35.167,VNGSJC,VN Gold SJC,168300000.0,171300000,,,,1
2026-04-20,21:30:00,2026-04-20 21:59:35.167,XAUUSD,World Gold (XAU/USD),4824.6,0,,,,1
